candidate_id,area_ha,site_type,nfm_potential_raw,overlap_rofrs_pct,dist_built_up_km,n_built_up_within_5km,overlap_recorded_flood_pct,overlap_habitat_networks_pct,dist_phi_km,dist_recorded_restoration_km,overlap_built_up_pct,road_km_within,road_density_km_per_km2,overlap_protected_pct,protected_site_flag,score_default,rank_default,score_equal,rank_equal,score_exposure_heavy,rank_exposure_heavy,score_habitat_heavy,rank_habitat_heavy,composite_score,rank,band,top10_stability,data_confidence,data_confidence_note
C02,984.8727132461756,Candidate Site,984.8727132461756,0.0063423259289775435,0.0,11,0.0,34.23557328855429,0.0,2.0600968578070447,14.585786741923565,51.328145305720476,5.21165269535604,0.17596348332918116,Beeston Brook Pasture SSSI,0.48971912860463795,11,0.5352461667220156,15,0.46781275240309195,9,0.4328619857474951,21,0.48971912860463795,11,Moderate,1,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C08,193.88021501350426,Candidate Site,193.88021501350426,0.0,0.0,7,0.0,41.00581297835145,0.0,5.998092469607876,67.64331970267263,24.59040207123282,12.683296265954747,0.0,None,0.4681428571428571,12,0.5587142857142857,9,0.4425714285714285,14,0.4404285714285714,20,0.4681428571428571,12,Moderate,1,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C23,571.3940003299814,Candidate Site,571.3940003299814,2.5273986860290294,0.0,3,0.0,95.18748768948049,0.0,1.0454306083946558,4.404316482518653,11.100091986647191,1.9426336258758163,5.368763793285629,"Giggleswick Scar and Kinsey Cave SSSI; Kinsey Cave, Giggleswick Scar; Ring cairn north west of Reinsber Scar",0.46298581613401846,13,0.49154778879479266,20,0.45256197266077425,13,0.46212867327687557,15,0.46298581613401846,13,Moderate,0,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C24,195.7729156036932,Candidate Site,195.7729156036932,0.0,2.6342279373055604,2,0.0,99.99983315983906,0.0,2.608570450448976,0.0,0.0,0.0,87.49173544900164,"Langcliffe Scars and Jubilee, Albert and Victoria Caves SSSI",0.46071568123266693,14,0.5496680295809662,10,0.38786894514179104,21,0.5079151034628655,6,0.46071568123266693,14,Moderate,2,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C32,14.20099705662918,Candidate Site,14.20099705662918,0.0,0.6982126444930724,1,0.0,99.9999992941869,0.13533725382173545,2.5328135052456298,0.0,0.0,0.0,0.0,None,0.4510425020070975,15,0.5463267617057613,11,0.4224986110617981,17,0.49145319988059966,10,0.4510425020070975,15,Moderate,1,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C35,124.67763863180815,Candidate Site,124.67763863180815,0.0,2.3148750484421288,3,0.0,99.9999878898024,0.0,2.199763893781334,0.0,0.44738618398187807,0.3588343418205705,0.0,None,0.4434020327637278,16,0.5261560673183436,16,0.38615903261693074,22,0.5056936403910062,8,0.4434020327637278,16,Moderate,1,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C13,12191.079034112665,Investigation Zone,12191.079034112665,1.2683215777148034,0.0,40,0.04456469724810051,69.20419662354854,0.0,0.0,20.410338482246054,628.8060178611211,5.15791929575403,6.944456423012024,South Pennine Moors SSSI; West Pennine Moors SSSI; South Pennine Moors; Ice house at Towneley Hall; Ring cairn on Slipper Hill; Roman signal station on Mellor Moor; Spigot mortar (Blacker Bombard) position; Steam tramway reversing triangle; Thieveley lead mine 330m south west and 910m WSW of Buckleys; Two Romano-British farmsteads known as Ring Stones; Warren at Everage Clough 450m north east of New Copy Farm,0.44070710078637204,17,0.414707100786372,25,0.4418742184010524,15,0.3865956890432518,25,0.44070710078637204,17,Moderate,0,Low,RoFRS flood-risk context (not scored) is incomplete for this candidate - falls in the acquisition gap. Does not affect the composite score.
C01,9.56129640271747,Candidate Site,9.56129640271747,0.0,0.7319386848310738,7,0.0,99.9999923781679,0.44364751673767455,5.935808749938846,0.0,0.38889533520464353,4.067391270226842,0.0,None,0.431558675736366,18,0.5378443900220803,14,0.4021510240353285,19,0.45116377687039105,17,0.431558675736366,18,Moderate,0,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C25,3501.380440426099,Investigation Zone,3501.380440426099,1.2420119343921792,0.0,12,0.06505855098794114,68.58744758278263,0.0,0.0,12.194740115551364,120.73010684108253,3.448071664740046,16.80599680674785,South Pennine Moors SSSI; South Pennine Moors; Beadle Hill Romano-British farmstead; Burwains Camp prehistoric defended settlement west of Broad Bank Hill; Castercliff small multivallate hillfort,0.4276923302293889,19,0.4036923302293889,26,0.43265058550987934,16,0.37581539813763337,27,0.4276923302293889,19,Watch,0,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C31,5.931364996542106,Candidate Site,5.931364996542106,0.0,0.17479574145641655,1,0.0,99.9999969265075,0.45136526826560897,2.6642666716199974,0.0,0.1327216144696125,2.2376234567757534,0.0,None,0.42412915433030374,20,0.5209380433843037,17,0.40981705939574326,18,0.4421628260305822,19,0.42412915433030374,20,Watch,0,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
C18,299.98920350516755,Candidate Site,299.98920350516755,0.0,4.58796271404617,2,0.0,99.99999999999999,0.0,1.341106700920479,0.0,3.4425345589924805,1.1475528181577308,0.0,None,0.41564198148058396,21,0.4667741096065047,22,0.3244707624212167,25,0.50580732290676,7,0.41564198148058396,21,Watch,1,High,Full RoFRS flood-risk context coverage for this candidate. RoFRS is not a scored factor either way.
